//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 247008
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima7;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus13;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00247008;1;01/07/1998;1;31,9;69,6;19;13;1;1;0;2433,9;1;0;0;0;2,4;0;0;6,6;0,4;12,8;0,3;6,6;0;0;0;0,6;0,7;0;0;31,9;0;1,1;0;0;0;0;0;0;0;5,1;0,5;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/08/1998;1;33,9;74,6;12;7;1;1;0;2433,9;1;0,6;0,3;0;0;0;0;0;0;0;0;0;33,9;0;3,9;0;4,3;0;0;0;2,9;0;0;0;0;0;0;0;28,7;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/09/1998;1;27,1;46,5;17;6;1;1;0;2433,9;1;5,5;0;0,5;0;0;0;3,2;0;0;0;0;8,5;0;0;0;0;27,1;0;0;0;0;0;0;0;1,7;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/10/1998;1;47,5;48,6;12;3;1;1;0;2433,9;1;0;0;0;0;0;0;0;0;0;0;0;47,5;0;0;0;0;0;0,6;0;0;0,5;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/11/1998;1;91,7;292,4;25;11;1;1;0;2433,9;1;8,2;42,2;0;0;0;0;0;0;15,2;1,2;0;0;0;0;19,2;0;0;0;0;0;4,2;0;21,5;0;91,7;61,1;0;15,3;12,6;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/12/1998;1;55,5;318,9;21;17;1;1;0;2433,9;1;3,3;0;0;0;0;0;11,4;0;0;0,2;0;0;0;1,2;38,8;4,5;0;0;0;22,2;55,5;2,7;19,1;0;9,9;26,2;16,8;42,2;41,9;0,8;22,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/01/1999;1;91,9;398,3;12;22;1;1;0;3224,7;1;0;0;0;0;0;1,3;12,5;22,6;2,1;10,5;6,6;91,9;0;10,6;62,7;27,6;0;7,7;22,1;41,3;0;19,2;9,7;6,4;2,1;1,1;9,7;11,9;0;14,1;4,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/02/1999;1;98,9;500,1;4;23;1;1;0;3224,7;1;0;0;85,9;98,9;2,7;4,5;23,3;0,3;0;18,3;11,1;19,5;28,9;11,7;0;41,3;22,4;31,2;0;2,2;0,4;2,6;31,9;6,4;18,6;10,5;12,9;14,6;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00247008;1;01/03/1999;1;98,8;611,3;3;31;1;1;0;3224,7;1;8,6;46,3;98,8;38,2;28,6;4,6;79,5;7,6;11,3;19,1;1,6;5,8;9,3;12,2;2,9;0,5;29,5;11,2;3,7;32,2;14,3;0,3;1,5;1,7;57,8;0,3;33,8;8,3;9,6;31,3;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/04/1999;1;75,9;484,7;28;28;1;1;0;3224,7;1;38,8;8,2;8,1;16,4;4,7;23,8;0;6,2;6,9;22,7;6,5;23,6;7,3;17,4;6,6;8,8;11,5;16,1;0,8;17,6;19,4;22,8;4,9;32,9;6,2;0,3;39,1;75,9;31,2;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
